Local time,Open,High,Low,Close,Volume
22.05.2013 23:00:00.000 GMT+0200,0.97810,0.98172,0.96328,0.96870,201316.36000000002
23.05.2013 23:00:00.000 GMT+0200,0.96862,0.97166,0.95900,0.96129,146260.75130000003
24.05.2013 23:00:00.000 GMT+0200,0.96129,0.96129,0.96129,0.96129,0
25.05.2013 23:00:00.000 GMT+0200,0.96129,0.96129,0.96129,0.96129,0
26.05.2013 23:00:00.000 GMT+0200,0.96153,0.96475,0.95920,0.96304,83177.25940000001
27.05.2013 23:00:00.000 GMT+0200,0.96303,0.97802,0.96217,0.97686,147673.65039999998
28.05.2013 23:00:00.000 GMT+0200,0.97686,0.97899,0.95994,0.96145,186010.70169999998
29.05.2013 23:00:00.000 GMT+0200,0.96145,0.96505,0.95259,0.95299,178997.541
30.05.2013 23:00:00.000 GMT+0200,0.95294,0.96244,0.95110,0.95476,170517.3503
31.05.2013 23:00:00.000 GMT+0200,0.95476,0.95476,0.95476,0.95476,0
01.06.2013 23:00:00.000 GMT+0200,0.95476,0.95476,0.95476,0.95476,0
02.06.2013 23:00:00.000 GMT+0200,0.95565,0.96240,0.94077,0.94713,164269.69939999998
03.06.2013 23:00:00.000 GMT+0200,0.94713,0.95199,0.94528,0.94683,156981.76870000002
04.06.2013 23:00:00.000 GMT+0200,0.94683,0.94933,0.93946,0.94202,171919.8383
05.06.2013 23:00:00.000 GMT+0200,0.94201,0.94385,0.92249,0.92911,185763.05020000003
06.06.2013 23:00:00.000 GMT+0200,0.92910,0.93737,0.92490,0.93587,187287.44230000002
07.06.2013 23:00:00.000 GMT+0200,0.93587,0.93587,0.93587,0.93587,0
08.06.2013 23:00:00.000 GMT+0200,0.93587,0.93587,0.93587,0.93587,0
09.06.2013 23:00:00.000 GMT+0200,0.93660,0.94182,0.93180,0.93352,147289.5995
10.06.2013 23:00:00.000 GMT+0200,0.93333,0.93490,0.92217,0.92453,176737.79899999997
11.06.2013 23:00:00.000 GMT+0200,0.92453,0.92863,0.91729,0.92026,161993.88950000002
12.06.2013 23:00:00.000 GMT+0200,0.92028,0.92584,0.91298,0.92155,180932.82929999995
